,btc_softw_dl_13,remitt_USDmil_13,intusers_aspercentpop_13,gdp_13,gdp_13_bill,blackmkt_aspercentgdp_08
Tanzania,1968.00,67.38,4.40,33225036.87,33.23,52.52
Thailand,6939.00,5689.78,28.94,387252164.30,387.25,47.90
Timor-Leste,4.00,130.00,1.10,1615000.00,1.62,
Togo,50.00,336.60,4.50,4338575.82,4.34,34.71
Trinidad and Tobago,767.00,126.07,63.80,24640839.01,24.64,31.27
Tunisia,1149.00,2290.51,43.80,47128700.68,47.13,35.27
Turkey,14324.00,919.00,46.25,820206962.60,820.21,28.63
Turkmenistan,62.00,40.00,9.60,41850877.19,41.85,
Uganda,180.00,931.57,16.20,21482954.24,21.48,39.38
Ukraine,46944.00,9667.00,41.80,177430609.80,177.43,46.18
United Arab Emirates,7657.00,,88.00,383799194.10,383.80,21.86
United Kingdom,159702.00,1711.91,89.84,2521380958.00,2521.38,12.02
United States,736720.00,6623.00,84.20,16800000000.00,16800.00,8.32
Uruguay,1586.00,122.75,58.10,55707944.64,55.71,45.25
Uzbekistan,885.00,6633.00,38.20,56795656.33,56.80,
Venezuela,5869.00,120.65,54.90,438283564.80,438.28,30.19
Vietnam,7543.00,11000.00,43.90,171391820.40,171.39,13.89
Yemen,113.00,3342.50,20.00,35954502.30,35.95,26.47
Zambia,70.00,72.86,15.40,22383715.32,22.38,42.08
Zimbabwe,226.00,,18.50,12801964.99,12.80,62.75
