,btc_softw_dl_14,btc_softw_dl_13,bitc_softw_dl_12,remitt_USDmil_13 ,remitt_USDmil_12,intusers_%ofpop_13,intusers_%pop_12,gdp_13,gdp_12,blackmkt_%gdp_08
Libya,28,109,30,,,16.5,,"75,456,402,200","81,873,662,519",30.69
Lithuania,1413,10433,1644,2059.621211,1508.14895,68.4529,67.22998933,"45,931,968,474","42,343,559,196",28.82
Luxembourg,340,1761,516,1818.397154,1680.059555,93.7765,91.94992374,"60,383,251,106","55,143,457,330",9.13
Macao,195,944,81,45.76010878,45.76010878,65.8,61.31,"51,753,094,764","42,981,497,744",10.65
Macedonia,281,1577,369,376.0559809,394.153574,61.2,57.44994731,"10,220,781,069","9,576,482,628",34.49
Madagascar,36,128,19,,,2.2,2.0549,"10,796,551,136","9,880,703,883",37.47
Malawi,7,21,11,28.30338041,28.30338041,5.4,4.3506,"3,705,386,790","4,240,492,849",39.69
Malaysia,1545,9751,1602,1395.888416,1319.707015,66.97,65.8,"312,435,494,621","305,032,745,225",29.34
Maldives,43,303,58,3.147415886,3.147415886,44.1,38.9301,"2,299,843,167","2,113,179,304",27.62
Mali,11,43,14,784.1080106,784.1080106,2.3,2.1689,"10,942,727,310","10,340,794,110",39.41
Malta,141,909,203,33.87363153,33.49540007,68.9138,68.19987429,"9,642,326,075","8,863,076,923",26.32
Mauritania,4,33,7,,,6.2,5.3691,"4,162,533,271","3,958,701,369",31.39
Mauritius,55,316,69,249,249,39,35.42,"11,938,403,909","11,442,063,228",21.85
Mexico,2784,17526,4056,23022.46975,23365.99096,43.46,39.75,"1,260,914,660,977","1,186,460,890,130",28.49
Namibia,37,177,42,15.49251934,15.49251934,13.9,12.9414,"12,579,618,856","13,399,386,550",28.02
Moldova,796,2819,1101,1976.25,1786.32,48.8,43.37,"7,935,229,341","7,284,686,576",43.94
Mongolia,43,216,34,255.7322814,320.3595508,17.7,16.4,"11,516,409,581","10,321,968,595",15.81
Montenegro,163,358,100,364.5295997,332.6111014,56.8,56.83878255,"4,427,771,436","4,045,813,953",
Morocco,591,2368,478,6881.69996,6507.905288,56,55.41605319,"104,374,278,746","95,981,572,517",32.58
Mozambique,11,108,21,217.0538049,220.213602,5.4,4.8491,"15,318,970,100","14,376,457,305",38.13
Myanmar,37,154,30,565.6857499,565.6857499,1.2,1.0691,,,
Nepal,76,691,150,5551.527542,4793.419078,13.3,11.1493,"19,294,348,174","19,206,800,719",35.63
Netherlands,9142,77137,19459,1565.444526,1620.618565,93.9564,92.85999236,"800,173,475,310","770,066,718,925",12.91
New Caledonia,22,93,23,478.8477678,478.8477678,66,58,,,
New Zealand,1440,11060,3368,1521,1212,82.78,82,"185,787,428,717","171,461,480,706",11.85
Nicaragua,90,409,72,1081.3,1016.3,15.5,13.5,"11,255,642,565","10,644,973,606",43
Niger,3,6,1,134.2925214,134.2925214,1.7,1.4077,"7,355,697,919","6,773,185,511",37.14
Nigeria,309,2183,385,20889.96751,20633.31923,38,32.8,"521,803,314,654","462,979,245,902",49.64
Norway,1720,18693,5288,791.457692,766.529947,95.0534,94.64997805,"512,580,425,532","500,029,909,755",17.81
Oman,29,192,66,39.01170351,39.01170351,66.45,60,"80,570,458,653","78,289,467,471",16.8
Pakistan,715,3728,949,14626,14005.892,10.9,9.96,"236,624,927,698","224,880,171,658",33.1
Panama,150,1049,291,417.6,402.3,42.9,40.30189522,"42,648,100,000","37,956,200,000",58.65
Papua New Guinea,6,17,6,17.27566005,14.25384478,6.5,3.5,"15,289,374,025","15,653,921,367",36.09
Paraguay,159,964,204,591.044,634.1,36.9,29.34,"29,948,866,616","24,611,040,343",37.19
Peru,470,3228,549,2707.246433,2787.954663,39.2,38.2,"202,295,635,536","192,636,058,714",52.76
Philippines,1678,7135,1689,26699.66719,24609.67961,37,36.2351,"272,017,377,292","250,182,019,476",38.17
Poland,10309,62097,18210,6984,6935,62.8492,62.30999727,"517,542,808,328","490,212,958,698",25.5
Portugal,2082,15940,3983,4372.36553,3903.787521,62.0956,60.33999749,"220,022,146,704","212,140,251,057",22.84
Qatar,122,615,162,574.3956044,803.2967033,85.3,69.3,"202,450,014,110","189,944,609,791",
Republic of Congo,9,37,11,,,6.6,6.1,"14,108,139,017","13,677,929,162",44.39
Romania,3688,21165,7801,3515,3674,49.7645,45.87999425,"189,638,162,013","169,396,055,591",29.6
Russia,39655,163307,52510,6750.810396,5787.735722,61.4,63.8,"2,096,777,030,571","2,017,470,930,421",40.25
Rwanda,18,55,12,170.0529372,182.4052773,8.7,8.023854277,"7,451,677,749","7,133,378,888",37.97
Sao Tome and Principe,1,1,1,23.11596367,6.35888979,23,21.5724,"310,684,636","263,328,450",
Saudi Arabia,500,3024,721,268.7733333,245.92,60.5,54,"745,272,533,333","733,955,733,333",16.61
Senegal,56,147,42,1613.911186,1613.911186,20.9,19.2036,"15,149,708,526","14,045,680,427",40.85
Serbia,1793,7150,1854,3183.457174,2763.194774,51.5,48.1,"42,520,511,655","38,110,737,579",
Seychelles,3,30,9,13.2077304,17.66693202,50.4,47.076,"1,268,018,738",1032199341,
Sierra Leone,3,10,4,60.98897774,60.98897774,1.7,1.3,"4,929,214,080","3,787,392,596",39.15
Singapore,1858,10643,1782,,,73,72,"297,941,261,088","286,908,399,902",12.13
Slovakia,1634,14779,2742,2071.747804,1927.879306,77.8826,76.70999012,"95,770,169,942",91347809328,16.57
Slovenia,946,6920,2067,685.9962802,644.1018909,72.6756,68.34997453,"46,833,394,457",45379174408,24.11
South Africa,1605,11622,2462,970.6553372,1084.655276,48.9,41,"350,630,133,297",3.82E+11,24.87
South Korea,1894,"15,757",1496,,,84.77,84.1,"1,304,553,972,502","1,222,807,167,489",25.26
Spain,7780,52180,9588,9583.975225,9660.948848,71.5719,69.80999994,"1,358,262,668,313","1,322,481,642,058",22.01
Sri Lanka,325,803,231,6422.186627,5999.552324,21.9,18.2854,"67,182,015,336","59,393,056,426",41.31
Sudan,19,164,0,424.3920835,401.4825867,22.7,21,"66,547,789,474","63,029,562,337",22.97
Suriname,43,199,25,6.993693279,8.05749075,37.4,34.6812,"5,230,909,091","5,012,121,212",34.25
Swaziland,5,12,2,31.31558861,31.31558861,24.7,20.78178258,"3,791,304,348",4049589166,38.89
Sweden,17027,33816,13161,1166.877137,813.7093315,94.7836,93.17998801,"558,948,700,780",5.24E+11,17.65
Switzerland,4555,21249,4827,3148.894363,3039.239318,86.7,85.2,"650,376,882,028","631,183,475,908",8.08
Syria,31,208,0,1622.53875,1622.53875,26.2,24.3001,,,18.4
Tajikistan,12,94,25,3581.88854,3625.512075,16,14.51,"8,508,103,456",7633049792,40.97
Tanzania,29,1968,62,67.38320534,67.38320534,4.4,3.95,"33,225,036,865",28248631876,52.52
Thailand,1569,6939,1993,5689.777048,4713.380624,28.94,26.46,"387,252,164,291",3.66E+11,47.9
Timor-Leste,1,4,0,130,119.8598078,1.1,0.9147,"1,615,000,000",1355000000,
