region_orig,region_orig_id,region_dest,region_dest_id,country_orig,origin_OECD,country_orig_id,country_dest,country_dest_id,destination_OECD,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,metadata
North America,1,Europe,3,Canada,1,CAN,Poland,POL,1,912783,56817,1105368,1215929,146,7,1003,1266,
North America,1,Europe,3,Canada,1,CAN,Portugal,PRT,1,912783,56817,1105368,1215929,22341,1407,1058,821,
North America,1,Europe,3,Canada,1,CAN,Romania,ROU,0,912783,56817,1105368,1215929,88,58,1162,1321,
North America,1,Europe,3,Canada,1,CAN,Serbia,SRB,0,912783,56817,1105368,1215929,1446,1285,1,42,
North America,1,Europe,3,Canada,1,CAN,Slovakia,SVK,1,912783,56817,1105368,1215929,1821,1597,147,976,
North America,1,Europe,3,Canada,1,CAN,Slovenia,SVN,1,912783,56817,1105368,1215929,53,464,64,129,
North America,1,Europe,3,Canada,1,CAN,Sweden,SWE,1,912783,56817,1105368,1215929,3084,309,520,1697,
North America,1,Europe,3,United States,1,USA,Albania,ALB,0,912783,56817,1105368,1215929,0,21,1171,3226,
North America,1,Europe,3,United States,1,USA,Austria,AUT,1,912783,56817,1105368,1215929,16008,6,24528,28405,
North America,1,Europe,3,United States,1,USA,Belgium,BEL,1,912783,56817,1105368,1215929,13782,36,17063,18602,
North America,1,Europe,3,United States,1,USA,Bulgaria,BGR,0,912783,56817,1105368,1215929,309,11,2704,4489,
North America,1,Europe,3,United States,1,USA,Bosnia & Herzegovina,BIH,0,912783,56817,1105368,1215929,0,9280,399,430,
North America,1,Europe,3,United States,1,USA,Switzerland,CHE,1,912783,56817,1105368,1215929,29935,17,45455,48262,
North America,1,Europe,3,United States,1,USA,Channel Islands,CHI,0,912783,56817,1105368,1215929,742,0,746,1044,
North America,1,Europe,3,United States,1,USA,Czech Republic,CZE,1,912783,56817,1105368,1215929,3770,297,5828,29070,
North America,1,Europe,3,United States,1,USA,Germany,DEU,1,912783,56817,1105368,1215929,370089,1792,89863,105286,
North America,1,Europe,3,United States,1,USA,Denmark,DNK,1,912783,56817,1105368,1215929,4863,142,4795,9962,
North America,1,Europe,3,United States,1,USA,Spain,ESP,1,912783,56817,1105368,1215929,34221,723,258392,189955,
North America,1,Europe,3,United States,1,USA,Finland,FIN,1,912783,56817,1105368,1215929,2346,22,3492,6903,
North America,1,Europe,3,United States,1,USA,France,FRA,1,912783,56817,1105368,1215929,33524,3,38717,32583,
North America,1,Europe,3,United States,1,USA,United Kingdom,GBR,1,912783,56817,1105368,1215929,42672,698,130735,140824,
North America,1,Europe,3,United States,1,USA,Greece,GRC,1,912783,56817,1105368,1215929,70210,0,37499,34629,
North America,1,Europe,3,United States,1,USA,Croatia,HRV,0,912783,56817,1105368,1215929,2715,131,1297,2710,
North America,1,Europe,3,United States,1,USA,Hungary,HUN,0,912783,56817,1105368,1215929,6197,5510,13920,18801,
North America,1,Europe,3,United States,1,USA,Ireland,IRL,1,912783,56817,1105368,1215929,8338,380,31064,9581,
North America,1,Europe,3,United States,1,USA,Iceland,ISL,1,912783,56817,1105368,1215929,780,75,2485,4754,
North America,1,Europe,3,United States,1,USA,Italy,ITA,1,912783,56817,1105368,1215929,4871,591,207371,255654,
North America,1,Europe,3,United States,1,USA,Luxembourg,LUX,1,912783,56817,1105368,1215929,4076,7,3418,5925,
North America,1,Europe,3,United States,1,USA,Macedonia,MKD,0,912783,56817,1105368,1215929,1,0,322,1055,
North America,1,Europe,3,United States,1,USA,Malta,MLT,0,912783,56817,1105368,1215929,660,4,473,433,
North America,1,Europe,3,United States,1,USA,Montenegro,MNE,0,912783,56817,1105368,1215929,2954,0,386,1707,
North America,1,Europe,3,United States,1,USA,Netherlands,NLD,1,912783,56817,1105368,1215929,15174,20,13758,13085,
North America,1,Europe,3,United States,1,USA,Norway,NOR,1,912783,56817,1105368,1215929,5438,141,8878,22454,
North America,1,Europe,3,United States,1,USA,Poland,POL,1,912783,56817,1105368,1215929,1599,0,16399,21134,
North America,1,Europe,3,United States,1,USA,Portugal,PRT,1,912783,56817,1105368,1215929,56631,58,10035,8558,
North America,1,Europe,3,United States,1,USA,Romania,ROU,0,912783,56817,1105368,1215929,602,5,9293,10268,
North America,1,Europe,3,United States,1,USA,Serbia,SRB,0,912783,56817,1105368,1215929,10837,1719,48,26930,
North America,1,Europe,3,United States,1,USA,Slovakia,SVK,1,912783,56817,1105368,1215929,5077,2007,2252,6270,
North America,1,Europe,3,United States,1,USA,Slovenia,SVN,1,912783,56817,1105368,1215929,151,128,1786,3507,
North America,1,Europe,3,United States,1,USA,Sweden,SWE,1,912783,56817,1105368,1215929,13306,106,8141,18933,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Armenia,ARM,0,8211,1336,15683,112823,0,0,0,0,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Azerbaijan,AZE,0,8211,1336,15683,112823,0,0,2,35,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Belarus,BLR,0,8211,1336,15683,112823,509,68,14,132,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Estonia,EST,1,8211,1336,15683,112823,27,15,3,44,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Georgia,GEO,0,8211,1336,15683,112823,0,0,0,0,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Kazakhstan,KAZ,0,8211,1336,15683,112823,1,0,55,1571,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Kyrgyzstan,KGZ,0,8211,1336,15683,112823,0,0,0,0,
North America,1,Fmr Soviet Union,4,Canada,1,CAN,Lithuania,LTU,0,8211,1336,15683,112823,0,0,61,111,
